protein
acta2
ada2
adm
apoa2
b2m
bcl2
ccdc80
ccl18
ccl3
cd14
cd163
cd300c
cdcp1
chga
chrdl1
ckb
clec5a
colec12
cst3
cstb
ctsl
cxcl17
cxcl9
dcbld2
dkk3
dsc2
ebi3_il27
eda2r
efemp1
eln
enpp5
epha2
fga
fgl1
gdf15
gfap
havcr2
ifi30
igdcc4
igfbp2
igfbp4
il15ra
il18bp
il6
itih3
klk4
lair1
layn
lect2
lgals9
lmnb2
lpcat2
lrrn1
ltbp2
mmp12
mmp7
msr1
nectin2
nefl
nt5c1a
ntprobnp
pga4
pilra
pilrb
plaur
psg1
ret
rnase1
scarb2
scarf2
septin8
serpina3
spink1
spp1
tff1
tff2
tff3
tgfbr2
timp1
timp4
tnfrsf10a
tnfrsf10b
tnfrsf11a
tnfrsf11b
tnfrsf1a
tnfrsf1b
trem2
vsig2
vsig4
wfdc2
wfikkn1
yap1
